ID,Style,Publisher,Color,Stock,Release Date,Collection Date,Image
Innova Disc Golf,Innova Disc Golf,Innova,BLue,USPCC,-,December 2025,Yes
NSA Super Secret Squirrel,NSA Super Secret Squirrel,NSA,Blue,Classified,-,December 2025,Yes
Star Wars Light Side,Star Wars Light Side,Theory 11,Blue,Theory 11 Premium,-,December 2024,Yes
MYNOC 9 Ice,MYNOC 9 Ice,House of Playing Cards,Blue,USPCC Air-Cushion Finish,-,December 2024,Yes
Diamon No 8,Diamon No 8,Dutch Design Playing Cards,Green / Pink,USPCC,-,December 2024,Yes
LINQ Casino Las Vegas,LINQ Casino Las Vegas,RKR,Purple,-,-,December 2024,Yes
Dinosaur National Monument,Dinosaur National Monument,Impact Photographics,Image,-,-,December 2024,Yes
National Parks,National Parks,Anderson Design Group,Image,-,-,December 2024,Yes
O Reily Auto Parts,O'Reily Auto Parts,O'Reily Auto Parts,Black,Global Consumer Products,-,December 2024,Yes
Solvay Life Saving Rules,Solvay Life Saving Rules,Solvay,Orange,-,-,December 2022,Yes
Taylor Swift,Taylor Swift,Taylor Swift,Red,-,-,December 2021,Yes
Tech Tower,Tech Tower,Liberty,Navy,-,-,January 2022,Yes
Peak 15,Peak 15,Ellusionist,Blue / Orange,Cartamundi E7,-,January 2021,Yes
Queen Bee,Queen Bee,Ellusionist,White,Cartamundi E7,January 2021,January 2021,Yes
Ghost Cohort,Ghost Cohort,Ellusionist,White,Cartamundi E7,December 2020,December 2020,Yes
Blue Standard,Standard,Bicycle,Blue,Air-Cushion Finish,-,February 2021,Yes
Don't Mess with Texas,Don't Mess with Texas,-,Black,-,-,January 2021,Yes
Silasaurus Rex,Silasaurus Rex,Shutterfly,Image,-,-,January 2022,Yes
Knights,Knights,Ellusionist,Blue,Cartamundi B9,-,August 2020,Yes
Blue Keeper,Keeper,Ellusionist,Blue,Cartamundi B9,-,August 2020,Yes
Aurellian,Aurellian,Ellusionist,Gold,Cartamundi E7,-,July 2020,Yes
White King Slayer,King Slayer,Ellusionist,White,Cartamundi E7,July 2020,July 2020,Yes
Disparos,Disparos,Ellusionist,Black,USPCC Standard,-,July 2020,Yes
Zebra King Slayer,King Slayer,Ellusionist,Zebra Print,Cartamundi E7,July 2020,July 2020,Yes
Talons,Talons,Ellusionist,Orange,USPCC Crushed,-,July 2020,Yes
Little Deck of Horrors,Little Deck of Horrors,Ellusionist,Navy / Pink,Cartamundi B9,-,May 2019,Yes
Rockets,Rockets,Ellusionist,Red / White / Blue,USPCC Crushed,-,May 2019,Yes
Green Keeper,Keeper,Ellusionist,Green,Cartamundi B9,-,May 2019,Yes
Pluma,Pluma,Bicycle,Orange,Air-Cushion Finish,-,-,Yes
Limited,LTD.,Ellusionist,Purple / Grey,USPCC Crushed,-,-,Yes
Red Standard,Standard,Bicycle,Red,Air-Cushion Finish,-,-,Yes
